id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
121,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,0,ORANG,2016
122,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,188727,ORANG,2016
123,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,1588,ORANG,2016
124,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,130796,ORANG,2016
125,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,500,ORANG,2016
126,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,70885,ORANG,2016
127,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,7455,ORANG,2016
128,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,144249,ORANG,2016
129,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,251,ORANG,2016
130,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,78255,ORANG,2016
131,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,45507,ORANG,2016
132,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,1104324,ORANG,2016
133,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,7913,ORANG,2016
134,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,209873,ORANG,2016
135,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,61237,ORANG,2016
136,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,73971,ORANG,2016
137,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,63246,ORANG,2016
138,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,186990,ORANG,2016
139,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,278027,ORANG,2016
140,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,481114,ORANG,2016
141,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,10344,ORANG,2016
142,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,912184,ORANG,2016
143,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,722901,ORANG,2016
144,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,2978435,ORANG,2016
145,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,5311,ORANG,2016
146,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,199920,ORANG,2016
147,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,176487,ORANG,2016
148,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,4624621,ORANG,2016
149,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,5891,ORANG,2016
150,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,176223,ORANG,2016
151,32,JAWA BARAT,3275,KOTA BEKASI,MANCANEGARA,6515,ORANG,2016
152,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,65808,ORANG,2016
153,32,JAWA BARAT,3276,KOTA DEPOK,MANCANEGARA,61110,ORANG,2016
154,32,JAWA BARAT,3276,KOTA DEPOK,NUSANTARA,105,ORANG,2016
155,32,JAWA BARAT,3277,KOTA CIMAHI,MANCANEGARA,496,ORANG,2016
156,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,3383,ORANG,2016
157,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MANCANEGARA,501,ORANG,2016
158,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,207853,ORANG,2016
159,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,126,ORANG,2016
160,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,61200,ORANG,2016
161,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,6242,ORANG,2017
162,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,9362,ORANG,2017
163,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,108802,ORANG,2017
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,1490479,ORANG,2017
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,669,ORANG,2017
166,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,132676,ORANG,2017
167,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,73215,ORANG,2017
168,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,97139,ORANG,2017
169,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,456,ORANG,2017
170,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,257345,ORANG,2017
171,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,13,ORANG,2017
172,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,170188,ORANG,2017
173,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,16,ORANG,2017
174,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,56734,ORANG,2017
175,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,514,ORANG,2017
176,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,125987,ORANG,2017
177,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,1588,ORANG,2017
178,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,130796,ORANG,2017
179,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,104,ORANG,2017
180,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,72185,ORANG,2017
181,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,3395,ORANG,2017
182,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,122114,ORANG,2017
183,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,319,ORANG,2017
184,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,40636,ORANG,2017
185,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,2377,ORANG,2017
186,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,12314,ORANG,2017
187,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,654657,ORANG,2017
188,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,5364673,ORANG,2017
189,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,118869,ORANG,2017
190,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,316471,ORANG,2017
191,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,63246,ORANG,2017
192,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,186990,ORANG,2017
193,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,13231,ORANG,2017
194,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,121484,ORANG,2017
195,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,0,ORANG,2017
196,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,0,ORANG,2017
197,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,795191,ORANG,2017
198,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,3306062,ORANG,2017
199,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,5315,ORANG,2017
200,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,199945,ORANG,2017
201,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,176487,ORANG,2017
202,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,4624621,ORANG,2017
203,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,6303,ORANG,2017
204,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,188559,ORANG,2017
205,32,JAWA BARAT,3275,KOTA BEKASI,MANCANEGARA,6515,ORANG,2017
206,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,65808,ORANG,2017
207,32,JAWA BARAT,3276,KOTA DEPOK,MANCANEGARA,12,ORANG,2017
208,32,JAWA BARAT,3276,KOTA DEPOK,NUSANTARA,34600,ORANG,2017
209,32,JAWA BARAT,3277,KOTA CIMAHI,MANCANEGARA,195,ORANG,2017
210,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,2154,ORANG,2017
211,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MANCANEGARA,508,ORANG,2017
212,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,228003,ORANG,2017
213,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,90,ORANG,2017
214,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,37912,ORANG,2017
215,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,34,ORANG,2018
216,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,9362,ORANG,2018
217,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,30,ORANG,2018
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,1494205,ORANG,2018
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,131413,ORANG,2018
220,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,901852,ORANG,2018
221,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,11,ORANG,2018
222,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,161000,ORANG,2018
223,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,685,ORANG,2018
224,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,67897,ORANG,2018
225,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,3049,ORANG,2018
226,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,35700,ORANG,2018
227,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,4,ORANG,2018
228,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,110997,ORANG,2018
229,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,455,ORANG,2018
230,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,338738,ORANG,2018
231,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,63414,ORANG,2018
232,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,186779,ORANG,2018
233,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,12,ORANG,2018
234,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,23260,ORANG,2018
235,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,17,ORANG,2018
236,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,122419,ORANG,2018
237,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,19,ORANG,2018
238,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,31632,ORANG,2018
239,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,22,ORANG,2018
